layout,layout_label,month,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,field_output_mw,unit_area_output_kw_m2
partitioned,分区交错同心圆,1,0.6093420936587446,0.7447381050219473,0.9373364069463654,0.9652193117816606,0.9886070409751037,35.118413158813176,0.531371099786195
partitioned,分区交错同心圆,2,0.6422063944420335,0.7628573952014625,0.9655017673274935,0.9652193117816606,0.9845035874827108,40.04339708657115,0.6058902448935625
partitioned,分区交错同心圆,3,0.6661447772896948,0.7804325759161276,0.9811132626402335,0.9652193117816606,0.9810187586445366,43.79949571197865,0.6627231732056243
partitioned,分区交错同心圆,4,0.6832892251365179,0.7948716454336467,0.9885514061779622,0.9652193117816606,0.979632391078838,46.47728100530709,0.703240314736837
partitioned,分区交错同心圆,5,0.6919868792376616,0.8019447530707421,0.9918094359920084,0.9652193117816606,0.9796950639695712,47.78739666324213,0.7230634654827399
partitioned,分区交错同心圆,6,0.6943933441216155,0.8038491632153886,0.9927684032580298,0.9652193117816606,0.9797355852351315,48.15707953456147,0.7286570779565366
partitioned,分区交错同心圆,7,0.6919031815170991,0.8018760190383751,0.9917737820808361,0.9652193117816606,0.9796966848201937,47.774488132521284,0.7228681485663767
partitioned,分区交错同心圆,8,0.6826436535185163,0.7943423659051808,0.9882907637928383,0.9652193117816606,0.9796502204356846,46.380062158361525,0.7017693118931779
partitioned,分区交错同心圆,9,0.6650818114597332,0.7795658403906135,0.980560012294452,0.9652193117816606,0.9811457252766254,43.63091631889715,0.6601724253373219
partitioned,分区交错同心圆,10,0.6386432167832383,0.7605889202699555,0.9627342861533734,0.9652193117816606,0.9849957857883818,39.49490711036623,0.597591130677903
partitioned,分区交错同心圆,11,0.6061501385596971,0.743175019151739,0.9344238512371292,0.9652193117816606,0.9889333722337483,34.63924361900852,0.5241208620206497
partitioned,分区交错同心圆,12,0.5901666598876559,0.7367485236367042,0.9188787459658829,0.9652193117816606,0.9901976357192256,32.458793348875695,0.4911288172824661
campo,改进 Campo,1,0.694728173351736,0.8564608632559821,0.942224037516073,0.9596247387211904,0.9799076752893126,37.43175081636243,0.6063508008439458
campo,改进 Campo,2,0.714486148670453,0.8553216290900465,0.970116632629907,0.9596247387211904,0.9779782164737917,41.599893438892614,0.6738698605214369
campo,改进 Campo,3,0.7138508835048275,0.849160497443259,0.9773106421601996,0.9596247387211904,0.9757993320285909,43.843958584829146,0.7102211042839865
campo,改进 Campo,4,0.7067578900230195,0.8364103106846542,0.9825011723772785,0.9596247387211904,0.9747792928863174,44.908601637486974,0.7274670827250973
campo,改进 Campo,5,0.698035315969148,0.8232349107814041,0.9854129037137888,0.9596247387211904,0.9747718473451329,45.03124046208716,0.7294536889588185
campo,改进 Campo,6,0.6943267540403436,0.8173569623671654,0.9864070796460176,0.9596247387211904,0.9754493915929203,44.98201396908857,0.7286562770611258
campo,改进 Campo,7,0.6981700164754148,0.8234165206466469,0.9853838590121775,0.9596247387211904,0.9747798247106877,45.03323610731611,0.7294860160890322
campo,改进 Campo,8,0.7072325674229126,0.8371112450177174,0.9823462673020196,0.9596247387211904,0.9748000340367596,44.88722234317428,0.7271207630380598
campo,改进 Campo,9,0.7141253222724968,0.8496379276090729,0.9770988578776189,0.9596247387211904,0.9758881466984342,43.76130301722431,0.7088821802818129
campo,改进 Campo,10,0.713270055874972,0.8556956592604509,0.9679655094168368,0.9596247387211904,0.9782505105513956,41.18812110268858,0.6671996278879808
campo,改进 Campo,11,0.6920420877062698,0.8563868657370154,0.9386842145072235,0.9596247387211904,0.9800523315180396,36.98067677148591,0.5990439262685988
campo,改进 Campo,12,0.6776464659417496,0.8558441463578461,0.9200223886241584,0.9596247387211904,0.9805150187202178,34.88283483840206,0.565061328382385
