scan,tower_mode,tower_y,initial_spacing,spacing_growth,delta_D1_from_six,delta_g_from_six,legal,reject_reason,selected_for_formal,profile,tower_x_m,tower_y_m,mirror_count,mirror_set_hash,outer_clipped_count,total_area_m2,annual_power_mw,power_margin_mw,unit_area_power_kw_m2,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,field_output_mw,unit_area_output_kw_m2,delta_power_from_six_medium,delta_q_from_six_medium,delta_power_from_tower_medium,delta_q_from_tower_medium,formal_reject_reason,formal_power_mw,formal_q_kw_m2
D1-one-dimensional,B,-179.8000539392233,11.660145900398494,0.17357327435165643,-0.1999999999999993,0.0,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1491,1fb082e8fc1977cdbad108e45fbda5864522e4a35e8fb9281b11302f06be152c,1749,61561.49592599507,42.51540254744635,0.5154025474463495,0.6906167874568125,0.7120277783290355,0.8422339873838877,0.9813509003412615,0.9599647682343279,0.9772644890178882,42.51540254744635,0.6906167874568125,0.5025452040455676,-0.000641205504946063,0.492996081125213,-0.0007983218726931307,,,
D1-one-dimensional,B,-179.8000539392233,11.760145900398493,0.17357327435165643,-0.09999999999999964,0.0,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1485,df2e756b267c0018f2e0f10bc762d4f62d36504c018301c5d69723b9f21d15fb,1755,61313.91953057716,42.368401750561695,0.368401750561695,0.6910078832822397,0.712471179406572,0.8423918887058507,0.9820838577480926,0.9598710413493711,0.9770304359310132,42.368401750561695,0.6910078832822397,0.35554440716091307,-0.00025010967951888396,0.3459952842405585,-0.0004072260472659517,,,
D1-one-dimensional,B,-179.8000539392233,11.860145900398493,0.17357327435165643,0.0,0.0,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.02240646632114,0.02240646632113652,0.6914151093295057,0.7129205256822425,0.842316677532215,0.9828459455071725,0.9598806720615001,0.9769467942328152,42.02240646632114,0.6914151093295057,0.009549122920354591,0.00015711636774706772,0.0,0.0,,,
D1-one-dimensional,B,-179.8000539392233,11.960145900398492,0.17357327435165643,0.09999999999999964,0.0,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1465,a51fcf9d7df03e2188f8ce11db017be49eb69f934850b3f5725ca6583a83b892,1775,60524.61994270378,41.858418614622465,-0.14158138537753473,0.691593250056723,0.7131363770040686,0.8423832577194774,0.983398903240168,0.9597961713916344,0.9766966795617655,41.858418614622465,0.691593250056723,-0.15443872877831666,0.0003352570949644029,-0.16398785169867125,0.0001781407272173352,,,
D1-one-dimensional,B,-179.8000539392233,12.060145900398492,0.17357327435165643,0.1999999999999993,0.0,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1453,a5d897377688d40897f023af895a785139b7d341f0840dc195db46e71f5388a3,1787,60062.33058093611,41.56215582953528,-0.43784417046472157,0.6919837346892291,0.7135690489126241,0.8425033982083222,0.9840442127506979,0.9597627804513036,0.9765262471706353,41.56215582953528,0.6919837346892291,-0.4507015138655035,0.0007257417274705302,-0.4602506367858581,0.0005686253597234625,,,
g-one-dimensional,B,-179.8000539392233,11.860145900398493,0.15357327435165644,0.0,-0.01999999999999999,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1489,24d25f4727623d170414da65fef4c31c81085bd07295d5f5eb9b8858771f1ff0,1751,61477.448506189154,42.40492162997993,0.4049216299799312,0.6897638509788006,0.7110706863124645,0.8424024399011095,0.9800173824146818,0.9598939330376763,0.9771807874957433,42.40492162997993,0.6897638509788006,0.39206428657914927,-0.0014941419829580527,0.3825151636587947,-0.0016512583507051204,,,
g-one-dimensional,B,-179.8000539392233,11.860145900398493,0.16357327435165642,0.0,-0.010000000000000009,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1483,ce28505a99fa67aca52684b48c5d9e1a6f1140891da3659875ea55ba9aebb9fe,1757,61238.067450252,42.29942977558737,0.2994297755873703,0.6907375026155125,0.71217087607374,0.8424634118463421,0.9816599964426543,0.9598434211120818,0.9769824707506355,42.29942977558737,0.6907375026155125,0.28657243218658834,-0.0005204903462461274,0.27702330926623375,-0.0006776067139931952,,,
g-one-dimensional,B,-179.8000539392233,11.860145900398493,0.17357327435165643,0.0,0.0,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1471,d560aec16ee5ed54cb7704f71d4a94429c5c11fc118625a9d688ff6547bac045,1769,60777.39103369038,42.02240646632114,0.02240646632113652,0.6914151093295057,0.7129205256822425,0.842316677532215,0.9828459455071725,0.9598806720615001,0.9769467942328152,42.02240646632114,0.6914151093295057,0.009549122920354591,0.00015711636774706772,0.0,0.0,,,
g-one-dimensional,B,-179.8000539392233,11.860145900398493,0.18357327435165643,0.0,0.010000000000000009,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1465,90ab3929ae90c899ef469493df3d5734eed97dc8db8a15261a214fdb08f45687,1775,60539.575197840975,41.883618893676925,-0.1163811063230753,0.6918386651509013,0.7133952247087214,0.8422827710423969,0.9837254369966256,0.9598456596466108,0.9767819072614369,41.883618893676925,0.6918386651509013,-0.12923844972385723,0.0005806721891427058,-0.13878757264421182,0.0004235558213956381,,,
g-one-dimensional,B,-179.8000539392233,11.860145900398493,0.19357327435165642,0.0,0.01999999999999999,True,,False,q3-six-refine-medium,0.0,-179.8000539392233,1453,350555238a4bf01cbada6c1abff1e6d1e00c22750bef3904c695f1dd33783ce3,1787,60078.89878127936,41.59453395077303,-0.40546604922697327,0.6923318302187977,0.7139306706100877,0.8421912634197529,0.9845873156923288,0.9598780494664324,0.9767136267258041,41.59453395077303,0.6923318302187977,-0.4183233926277552,0.0010738372570391341,-0.4278725155481098,0.0009167208892920664,,,
