boundary_id,candidate,original_end_ring,shift_rings,new_end_ring,boundaries,moved_mirror_count,group_counts,total_area_m2,medium_power_mw,medium_q_kw_m2,formal_power_mw,formal_power_margin_mw,formal_q_kw_m2,formal_delta_power_mw,formal_delta_q_kw_m2,formal_feasible,q_better_than_baseline,classification
1,B1+1,1,1,2,2|5|11|14|20,72,144|197|283|224|357|266,60168.964454864516,41.654147170128375,0.6922862566693341,41.734899315256385,-0.26510068474361503,0.6936283463306674,-0.3513154243508865,0.0005023894613133129,False,True,q提高但功率不达标
1,B1+2,1,2,3,3|5|11|14|20,144,216|125|283|224|357|266,59618.49642779123,41.303619856910196,0.6927987509201335,41.383621548726566,-0.6163784512734338,0.6941406447384932,-0.7025931908807053,0.0010146878691391636,False,True,q提高但功率不达标
2,B2-2,5,-2,3,1|3|11|14|20,125,72|144|408|224|357|266,61047.08377487377,42.207984829347104,0.6914005095640523,42.286977110424914,0.2869771104249139,0.6926944662314846,0.20076237081764248,-0.0004314906378695138,True,False,功率可行但q下降
2,B2-1,5,-1,4,1|4|11|14|20,59,72|210|342|224|357|266,60874.08389220358,42.101865245379614,0.6916221576317109,42.182274165645545,0.18227416564554488,0.6929430632638734,0.09605942603827344,-0.00018289360548062739,True,False,功率可行但q下降
2,B2+1,5,1,6,1|6|11|14|20,54,72|323|229|224|357|266,60577.88712338946,41.91413182286843,0.6919048156548392,41.997372706545164,-0.0026272934548359217,0.6932789290092248,-0.08884203306210736,0.00015297213987075509,False,True,q提高但功率不达标
2,B2+2,5,2,7,1|7|11|14|20,105,72|374|178|224|357|266,60444.205395871584,41.828567615088204,0.6920194804636335,41.91249823501685,-0.08750176498315199,0.693408044005481,-0.17371650459042343,0.00028208713612687397,False,True,q提高但功率不达标
3,B3-2,11,-2,9,1|5|9|14|20,85,72|269|198|309|357|266,60148.327674809,41.421935517218216,0.6886631286104123,41.47833286724399,-0.5216671327560078,0.6896007664834166,-0.6078818723632793,-0.00352519038593746,False,False,功率与q均不占优
3,B3-1,11,-1,10,1|5|10|14|20,41,72|269|242|265|357|266,60443.95839849919,41.616438165260234,0.6885127855275204,41.67197367063641,-0.32802632936358833,0.6894315788502549,-0.41424106897085977,-0.0036943780190992204,False,False,功率与q均不占优
3,B3+1,11,1,12,1|5|12|14|20,79,72|269|362|145|357|266,61250.22400856338,42.07415590335498,0.686922482070802,42.15072832030841,0.15072832030841,0.6881726394080668,0.06451358070113855,-0.004953317461287243,True,False,功率可行但q下降
3,B3+2,11,2,13,1|5|13|14|20,153,72|269|436|71|357|266,61747.42113476963,42.26844831650946,0.6845378728328516,42.34984207151577,0.3498420715157735,0.6858560453736716,0.26362733190850207,-0.007269911495682457,True,False,功率可行但q下降
4,B4-2,14,-2,12,1|5|11|12|20,145,72|269|283|79|502|266,61690.210023022024,42.41532423092136,0.6875535715487511,42.50541130484367,0.505411304843669,0.6890138854930333,0.4191965652363976,-0.004112071376320747,True,False,功率可行但q下降
4,B4-1,14,-1,13,1|5|11|13|20,71,72|269|283|153|428|266,61194.77872619283,42.216034656270786,0.6898633434914492,42.30377111137004,0.30377111137003965,0.691297068017063,0.2175563717627682,-0.001828888852291044,True,False,功率可行但q下降
4,B4+1,14,1,15,1|5|11|15|20,68,72|269|283|292|289|266,60264.17129025691,41.74899678016145,0.6927664628304802,41.80549261642605,-0.19450738357394926,0.69370393255843,-0.2807221231812207,0.0005779756890759158,False,True,q提高但功率不达标
4,B4+2,14,2,16,1|5|11|16|20,133,72|269|283|357|224|266,59828.99515115019,41.419279959186404,0.6922944277193019,41.48095174575737,-0.5190482542426267,0.6933252286949015,-0.6052629938498981,0.0001992718255474646,False,True,q提高但功率不达标
5,B5-2,20,-2,18,1|5|11|14|18,105,72|269|283|224|252|371,59934.28158723531,41.54333630216578,0.693148148304719,41.60256071119524,-0.39743928880476176,0.6941363041224082,-0.4836540284120332,0.0010103472530541557,False,True,q提高但功率不达标
5,B5-1,20,-1,19,1|5|11|14|19,51,72|269|283|224|306|317,60338.07347593944,41.78254315238414,0.6924739347046847,41.85408421351496,-0.1459157864850411,0.6936596049955887,-0.23213052609231255,0.000533648126234576,False,True,q提高但功率不达标
5,B5+1,20,1,21,1|5|11|14|21,48,72|269|283|224|405|218,61078.35860523036,42.204730673483176,0.6909932034399667,42.264773866016384,0.26477386601638386,0.6919762552754174,0.17855912640911242,-0.0011497015939366806,True,False,功率可行但q下降
5,B5+2,20,2,22,1|5|11|14|22,93,72|269|283|224|450|173,61414.851845817146,42.331357869448226,0.6892690708710281,42.40382203762483,0.4038220376248276,0.6904489836445461,0.31760729801755616,-0.002676973224807977,True,False,功率可行但q下降
